Year,Stream,Treatment,Day,Replicate,InitialWt,InitialCor,FinalWt,AFDMrem,LN.AFDMrem,AFDM.initial,AFDM.Final,,,,,,,,,,
2018,PA,EC,28,1,5.01,4.371605088,3.15,72.05591394,4.2774424,2.837726151,2.044749513,,,,,,,,,,
2018,PA,EC,28,2,5.03,4.389056606,3.23,73.59212446,4.298538015,2.787140423,2.051115849,,,,,,,,,,
2018,PA,EC,28,3,5.1,4.450136916,2.93,65.84067086,4.187237746,2.892028525,1.904130982,,,,,,,,,,
2018,PA,C,35,1,4.94,4.310524778,2.77,64.26131719,4.162957851,2.757115874,1.771758977,,,,,,,,,,
2018,PA,C,35,2,5,4.36287933,2.72,62.34414923,4.13266983,2.739952794,1.708200259,,,,,,,,,,
2018,PA,C,35,3,4.97,4.336702054,2.35,54.18864314,3.99247135,2.745928123,1.487981192,,,,,,,,,,
2018,PA,EC,35,1,5.09,4.441411158,3.41,76.77739977,4.340910323,2.795013605,2.145938769,,,,,,,,,,
2018,PA,EC,35,2,5.05,4.406508123,3.14,71.25823696,4.266310419,2.837671898,2.022074965,,,,,,,,,,
2018,PA,EC,35,3,5.01,4.371605088,2.83,64.73594808,4.170316659,3.58402091,2.320149915,,,,,,,,,,
2018,PA,C,42,1,5.01,4.371605088,1.81,41.4035569,3.723366793,2.783156355,1.152325725,,,,,,,,,,
2018,PA,C,42,2,4.91,4.284347502,2.24,52.28334067,3.956677786,2.702786685,1.41310717,,,,,,,,,,
2018,PA,C,42,3,4.93,4.301799019,2.09,48.58432462,3.88330094,2.848456495,1.38390335,,,,,,,,,,
2018,PA,EC,42,1,5.02,4.380330847,3.06,69.85773694,4.246460845,2.95928353,2.067288503,,,,,,,,,,
2018,PA,EC,42,2,4.98,4.345427812,3.02,69.4983355,4.241302803,2.822922842,1.961884387,,,,,,,,,,
2018,PA,EC,42,3,5.02,4.380330847,2.9,66.20504481,4.192756666,2.821597271,1.868039737,,,,,,,,,,
2018,PA,C,49,1,5,4.36287933,1.51,34.61017108,3.544147601,2.80888012,0.972158215,,,,,,,,,,
2018,PA,C,49,2,4.98,4.345427812,2.03,46.71576857,3.844081764,2.648736008,1.237377383,,,,,,,,,,
2018,PA,C,49,3,5.09,4.441411158,2.06,46.38165499,3.836904015,2.840434518,1.317440539,,,,,,,,,,
2018,PA,EC,49,1,5.04,4.397782364,2.51,57.07422042,4.044352533,3.484449116,1.988722169,,,,,,,,,,
2018,PA,EC,49,2,5.01,4.371605088,2.73,62.44845874,4.134341556,2.693414298,1.681995717,,,,,,,,,,
2018,PA,EC,49,3,5.06,4.415233882,2.55,57.75458488,4.056202738,3.204520006,1.850757227,,,,,,,,,,
2019,PB,Handling,0,0,4.9305,,4.7595,,#NUM!,NA,NA,,,,,,,,,,
2019,PB,Handling,0,0,5.0219,,4.8339,,#NUM!,NA,NA,,,,,,,,,,
2019,PB,Handling,0,0,5.1537,,4.9132,,#NUM!,NA,NA,,,,,,,,,,
2019,PB,Handling,0,0,5.0329,,4.8324,,#NUM!,NA,NA,,,,,,,,,,
2019,PB,Handling,0,0,5.0017,,4.7597,,#NUM!,NA,NA,,,,,,,,,,
2019,PA,Handling,0,0,5.113,,4.9204,,#NUM!,NA,NA,,,,,,,,,,
